,id,name,neighbourhood_cleansed,host_id,host_name,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating
8724,599717695518255755,extravaganter Altbau in bester Lage,Prenzlauer Berg Südwest,131595925,Maurice,Pankow,52.53706,13.41208,Entire rental unit,2,,3,12,4.92
8725,599767102805828599,Sonnige Altbauwohnung im beliebten Wrangelkiez,südliche Luisenstadt,9240944,Anir,Friedrichshain-Kreuzberg,52.49911,13.4388,Entire rental unit,3,$108.00,4,20,4.95
8726,600427166820737355,Schöne Maisonette-Wohnung am Zionskirchplatz,Brunnenstr. Süd,9720272,Birger,Mitte,52.53640443963712,13.400901981346074,Entire condo,3,,2,7,4.71
8727,600430950047252098,Großes Familienzimmer mit Balkon,Düsseldorfer Straße,98716346,Daniel,Charlottenburg-Wilm.,52.4987,13.32467,Private room in bed and breakfast,5,$187.00,1,7,5.0
8728,600469931784446700,Pankow - tolle Wohnung in guter Lage-max. 6 Pers.,Pankow Zentrum,177712632,Sandra,Pankow,52.56424,13.39668,Entire rental unit,6,$239.00,2,1,5.0
8729,600521376264478326,Brunnen.49 - Blick über Berlin,Brunnenstr. Süd,102979040,Team Suite030,Mitte,52.53725,13.39691,Entire rental unit,3,$153.00,92,0,
8730,600610577889844495,Quiet & Cozy Samarieterviertel Apartment w/Terrace,Frankfurter Allee Nord,453334691,Violeta,Friedrichshain-Kreuzberg,52.51560876518701,13.47252053793978,Entire rental unit,4,$167.00,3,27,4.96
8731,600663436804474281,YeetHome - Very central - Netflix - Free Parking,Tiergarten Süd,18772884,Misha,Mitte,52.50549,13.34353,Private room in rental unit,2,$78.00,1,88,4.78
8732,601236183335760736,Unique Penthouse with 2 floors & rooftop-terrace,Tempelhofer Vorstadt,38989347,Marisa,Friedrichshain-Kreuzberg,52.49701,13.37919,Entire condo,4,$330.00,7,2,5.0
8733,601965899143664004,Beautiful cozy Flat in Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,45846743,Viktoria,Friedrichshain-Kreuzberg,52.49933,13.46478,Entire rental unit,7,$213.00,3,9,4.89
8734,602012937632128451,Zimmer mit eigenem Badezimmer,Tempelhofer Vorstadt,50081741,Sarah,Friedrichshain-Kreuzberg,52.491505,13.378085,Entire condo,2,$91.00,1,46,4.98
8735,602674526011262903,1 Zi.-Apartment typ. Berliner Altbau,Wedding Zentrum,7307698,Svenja,Mitte,52.54237,13.3532,Entire rental unit,2,,3,4,5.0
8736,602748927194278488,Schöne Wohnung ohne Anmeldung Berlin Wedding,Wedding Zentrum,70643970,Abdel,Mitte,52.55092,13.37043,Entire rental unit,1,$50.00,92,1,1.0
8737,602861220353061488,Central Ground Floor Studio Apartment,Moabit Ost,453810876,Hendrik,Mitte,52.5282,13.34483,Entire rental unit,2,$98.00,5,114,4.91
8738,603215248805860047,"Blueground | Mitte, next to Spittelmarkt",Alexanderplatz,434485440,Blueground,Mitte,52.5070354,13.407199,Entire rental unit,2,$92.00,90,1,2.0
8739,603242993320174316,Flat in the middle of Berlin,Brunnenstr. Süd,35300857,Philip,Mitte,52.53559676456572,13.398641923587435,Entire condo,2,,7,14,5.0
8740,603483493858276546,"Sunny Apt with 2 Rooms & Balcony, 3min to Metro St",Neu Lichtenberg,220422874,Christoph,Lichtenberg,52.509468,13.499712,Entire condo,7,$171.00,7,48,4.85
8741,603514364166627874,Geräumiges Komfortzimmer,Düsseldorfer Straße,98716346,Daniel,Charlottenburg-Wilm.,52.49864,13.32553,Room in hotel,2,,1,3,4.67
8742,603656499321928631,Your beautiful flat 10 minutes to Alexander Platz,Pankow Süd,41642714,Jana,Pankow,52.55868,13.41338,Entire condo,4,$260.00,1,35,4.91
8743,604102943795715994,Central & private room in a huge shared apartment,Prenzlauer Berg Süd,423952400,Schamiram,Pankow,52.53372,13.43248,Private room in condo,1,$55.00,3,14,4.93
8744,604103161121685789,Cozy bedroom in huge apartment,Prenzlauer Berg Süd,423952400,Schamiram,Pankow,52.53357,13.43388,Private room in condo,1,$52.00,4,8,5.0
8745,604108681132045790,Sunny new refurbished Apartment in Berlin,Prenzlauer Berg Süd,271235180,Jonas,Pankow,52.53258866205664,13.42319098922869,Entire rental unit,4,$103.00,92,0,
8746,604213813500842811,Gemütliche Souterrain Wohnung in Reihenendhaus,Johannisthal,453598085,Corinna,Treptow - Köpenick,52.4535,13.50457,Entire rental unit,2,$85.00,3,24,4.92
8747,604978794206227426,Designer Studio Apartment in the heart of Kudamm,Halensee,407410437,Momina,Charlottenburg-Wilm.,52.50138702631419,13.29237783499152,Entire rental unit,4,$150.00,4,6,4.33
8748,605450125120421586,City-Apartment Sorgenfrei im Herzen Berlins,Karl-Marx-Allee-Nord,234930165,KroMap,Friedrichshain-Kreuzberg,52.52285,13.44715,Entire rental unit,4,$130.00,2,44,4.48
8749,605582586657348959,Villa in Pankow: 175m² mit Garten in S-Bahnnähe,Karow,47440825,Sandra,Pankow,52.61084,13.4867,Entire villa,6,$210.00,7,2,5.0
8750,605647126871469445,Brand new central appartment with fiber internet,Brunnenstr. Nord,452483120,Gabriele,Mitte,52.54394,13.37255,Private room in rental unit,3,$168.00,5,99,4.87
8751,606261414152569363,Amazing location - Berlin apartment,Moabit Ost,1523115,Elmira,Mitte,52.5177,13.33845,Entire rental unit,4,,3,42,4.93
8752,606401295328021155,Cosy apartment in Charlottenburg,Neue Kantstraße,193421055,Daniel,Charlottenburg-Wilm.,52.50701030566155,13.284136300615035,Entire condo,2,$192.00,2,22,4.95
8753,607280265342486169,Engelfittich Apartments,Brunnenstr. Süd,7198786,Oliver,Mitte,52.53581,13.39786,Entire rental unit,4,$89.00,1,97,4.63
8754,607733454135929329,Penthouse in Friedrichshain,Karl-Marx-Allee-Süd,120542484,Robert,Friedrichshain-Kreuzberg,52.510212,13.450439,Entire condo,4,,85,0,
8755,607836165565073961,Modernes Zimmer zentral Berlin,Schöneberg-Süd,454847119,William,Tempelhof - Schöneberg,52.481056,13.34657,Private room in rental unit,1,$65.00,3,75,4.97
8756,607923280892227371,"Loft (45qm) mit Terrasse, Rummelsburger Bucht",Rummelsburger Bucht,86921203,Mirco,Lichtenberg,52.49773,13.482901,Entire condo,2,$78.00,2,129,4.96
8757,608015662094760952,"Sei zuhause,dein zuhause.Be Home,your Home 🙃",Oberschöneweide,411434394,Abdallah,Treptow - Köpenick,52.462616,13.522941,Private room in rental unit,2,$37.00,14,57,4.86
8758,608612251405692632,"Quiet, 15m² bedroom - 20mn to Brandenburg Gate",Tiergarten Süd,36152113,Toavina,Mitte,52.501991,13.3709494,Private room in condo,2,,1,15,4.93
8759,608677030535131342,"Unique, cozy, central and calm at Boxhagener Platz",Frankfurter Allee Süd FK,8380298,Sonja,Friedrichshain-Kreuzberg,52.51296,13.45512,Entire condo,4,,4,10,4.9
8760,608983468631891250,Large but simplistic 1 bedroom in Friedrichshain,Karl-Marx-Allee-Süd,114819960,Matthew,Friedrichshain-Kreuzberg,52.51194,13.45007,Entire rental unit,3,$110.00,3,14,4.71
8761,609002773348921385,Spacious Loft in the heart of Berlin!,Alexanderplatz,447386939,Luis,Mitte,52.52421,13.41062,Entire rental unit,6,$170.00,92,0,
8762,609068831213830815,Friedrichsfelde-tolle 2 Zimmer Wohnung am Tierpark,Friedrichsfelde Nord,177712632,Sandra,Lichtenberg,52.5051,13.52118,Entire rental unit,6,$289.00,3,0,
8763,609077669930578052,Sunny Studio at Wismarplatz,Frankfurter Allee Süd FK,311166950,Keyone,Friedrichshain-Kreuzberg,52.51013,13.46675,Private room in rental unit,2,$75.00,1,7,4.86
8764,609125031089511757,Einzigartige Ferienwohnung bunt wie Berlin,Frankfurter Allee Süd FK,438558665,Sariko,Friedrichshain-Kreuzberg,52.50052,13.45978,Entire vacation home,4,$180.00,2,55,4.91
8765,609129211670073626,Ruhige Großstadtoase am See mit eigener Terrasse,Zehlendorf  Südwest,455131842,Sybil,Steglitz - Zehlendorf,52.43616,13.19847,Entire vacation home,2,$125.00,3,23,4.91
8766,609186673849739435,Studio - Wohnen mit Wohlfühl-Garantie,Otto-Suhr-Allee,342119665,KPM Hotel & Residences,Charlottenburg-Wilm.,52.51597,13.33144,Private room in serviced apartment,2,$115.00,30,0,
8767,609270976377835131,Tolles Haus mit Garten in Nähe Prenzlauer Berg,Weißensee,243075474,Kristin,Pankow,52.55407,13.440064,Entire home,6,$285.00,6,7,4.57
8768,609452951465036730,Cosy Two-Room Apartment in the City Center,Schöneberg-Süd,12990825,Lara,Tempelhof - Schöneberg,52.48691,13.36282,Entire rental unit,2,,6,10,4.9
8769,609840141799279264,2-bedroom home in heart of Neukölln,Rixdorf,6657133,Leah,Neukölln,52.48441,13.44691,Entire condo,6,$115.00,1,10,5.0
8770,609847139392502274,Great 2-room apartment in central Berlin,Prenzlauer Berg Ost,50974869,Gwen,Pankow,52.523979,13.460004,Entire rental unit,2,,11,4,4.75
8771,609941107196045767,Top floor private place with terrace in apt.share,Weißensee,1496601,Evie,Pankow,52.5541,13.44805,Private room in condo,2,$63.00,3,29,4.9
8772,609998818057993703,"Charmantes, ruhiges Privatzimmer mit Ausblick",Weißensee,1496601,Evie,Pankow,52.5541,13.44969,Private room in rental unit,2,$61.00,3,41,4.83
8773,610024902903413077,"9 [RU2] 2 bedroom, @subway, Park ex-airport Tmplhf",Tempelhof,909226,Werner,Tempelhof - Schöneberg,52.468182,13.390246,Entire rental unit,6,$149.00,2,54,4.96
8774,610548210598989088,Exklusive klimati. Eigentumswhng in B-Westend,Heerstrasse,82635359,Knut,Charlottenburg-Wilm.,52.50731,13.24892,Entire condo,4,$500.00,20,0,
8775,611235827845447324,Tolle 2-Zimmer Wohnung im Prenzlauer Berg,Prenzlauer Berg Nord,8868576,Marina,Pankow,52.55222,13.42139,Entire rental unit,2,,7,5,4.8
8776,611278733283323802,Sunny Apartment with South Balcony,Prenzlauer Berg Ost,61082403,Manuel,Pankow,52.53536,13.44317,Entire rental unit,2,$190.00,2,22,5.0
8777,611459611176883885,Party Grill Boot,Müggelheim,23445430,Yury,Treptow - Köpenick,52.41074,13.66317,Boat,12,$269.00,1,25,4.92
8778,612157073909883323,"Generous Room in Central Berlin: ""Hive 4""",nördliche Luisenstadt,46134517,Laura,Friedrichshain-Kreuzberg,52.50218,13.43312,Private room in rental unit,2,$145.00,1,109,4.8
8779,612157206158361683,Stylish und sunny room near Central Station,Moabit West,158897225,Samuel,Mitte,52.523698105247504,13.33530090476185,Private room in rental unit,3,$129.00,3,11,4.82
8780,612306708010903880,The Good Place Kreuzberg,Tempelhofer Vorstadt,349525946,Vincent,Friedrichshain-Kreuzberg,52.49183,13.37799,Entire rental unit,4,$210.00,2,29,4.93
8781,612335154661789500,Bright and quite Apartment middle in Ost Berlin,Frankfurter Allee Nord,10483380,Ana,Friedrichshain-Kreuzberg,52.52066,13.45211,Entire condo,6,$150.00,2,51,4.86
8782,612692417564516998,Great apartment in Prenzlauer Berg - Elir,Prenzlauer Berg Nord,438513826,Urs,Pankow,52.549731577764206,13.41761619823908,Entire condo,4,$161.00,3,50,4.9
8783,613399384611323325,"Cozy, modern 80m2 flat next to Ku'damm",Neue Kantstraße,456079389,Hadrian,Charlottenburg-Wilm.,52.500561,13.303497,Entire condo,5,$185.00,2,70,4.93
8784,613537945989069162,Appartement im Herzen Berlins,Schöneberg-Süd,127554480,Lukas,Tempelhof - Schöneberg,52.48481800301034,13.356548655622602,Entire rental unit,2,,3,1,5.0
